,COMMENTS
291,有精神病嗎？有自首嗎？有吸毒嗎？這些都可以減刑唷
292,沒受教似的
293,這王八 太扯了 太丟台灣人的臉
294,黃偉哲應該要下台負責
295,人神共憤的 畜生一定要 判死刑
296,前科纍纍
297,妈的什么法官来的 判死刑啦
298,邁啦 共諜🤔
299,就算判死刑有用嗎法務部會執行嗎？
300,無教化可以
301,支持死刑
302,怎麼有那麼變態的人啦
303,鬼島，全靠可教化法官
304,求判死刑
305,唉呀，怎麼搞的
